Product name,Product description,Brand name,Quantity,All products images/ videos,Rating,Number of Ratings,MRP,Selling price,Product URL,Affiliate link,All Ingredients,Item Form,Skin Type,Brand,Scent,Material Feature,Material Type Free,Age Range (Description),Number of Items,Net Quantity,Special Feature,Highly rated by customers for
Unnamed: 1,"Dettol Original Germ Protection Bathing Soap Bar (600gm) | Kills 99.99% germs, 125gm + 20% Extra Free, Pack of 4",,grams / ml,https://m.media-amazon.com/images/I/61a5LNKUAZL._AC_UL320_.jpg,,"21,288",,225,https://amazon.in/Dettol-Original-Protection-Bathing-99-99/dp/B0C3VNGX4N/ref=sr_1_1?qid=1695545594&s=beauty&sr=1-1,use your own account for now,,if available,if available,if available,if available,if available,if available,if available,if available,if available,if available,all data
Unnamed: 2,"Dettol Original Germ Protection Bathing Soap Bar (300gm) | Kills 99.99% germs, 75gm - Pack of 4",,,https://m.media-amazon.com/images/I/616Jgnn6KEL._AC_UL320_.jpg,,68,,124,https://amazon.in/Dettol-Original-Soap-75g-Pack/dp/B07BDNR1VC/ref=sr_1_2?qid=1695545594&s=beauty&sr=1-2,Short Link,,,,,,,,,,,,
Unnamed: 3,"Cetaphil Face Wash Gentle Skin Cleanser for Dry to Normal, Sensitive Skin, 125 ml Hydrating Face Wash with Niacinamide, Vitamin B5",,,https://m.media-amazon.com/images/I/71t9JRry+3L._AC_UL320_.jpg,,"25,845",,276,https://amazon.in/Cetaphil-Gentle-Skin-Cleanser-125ml/dp/B01CCGW4OE/ref=sr_1_3?qid=1695545594&s=beauty&sr=1-3,Full Link,,,,,,,,,,,,
,Ice Face Roller Silicone Facial Cube for Eyes Neck Massage Remove Dark Circle Pore Shrink Face Beauty Skin Care Ice Mould Kitchen Tools,,,https://m.media-amazon.com/images/I/11gNbuzzirL._SS200_.png,,"1,737",,49,https://amazon.in/Roller-Silicone-Facial-Massage-Kitchen/dp/B0C9HVT1WZ/ref=sr_1_4?qid=1695545594&s=beauty&sr=1-4,,,,,,,,,,,,,
,Dettol Liquid Handwash Refill – Skincare Hand Wash- 1500ml | pH Balanced | 10x Better Germ Protection,,,https://m.media-amazon.com/images/I/61DKLhAwWuL._AC_UL320_.jpg,,"73,014",,193,https://amazon.in/Dettol-pH-Balanced-Skincare-Liquid-Handwash/dp/B07M9XYH9K/ref=sr_1_5?qid=1695545594&s=beauty&sr=1-5,,,,,,,,,,,,,
,"Minimalist 2% Salicylic Acid Face Wash For Oily Skin | Sulphate Free, Anti Acne Face Cleanser With Lha & Zinc For Acne Or Pimples | Men & Women 100 Ml",,,https://m.media-amazon.com/images/I/61J2gr1xbLL._AC_UL320_.jpg,,"10,178",,299,https://amazon.in/Minimalist-Salicylic-Sulphate-Cleanser-Pimples/dp/B096PJMGPL/ref=sr_1_6?qid=1695545594&s=beauty&sr=1-6,,,,,,,,,,,,,
,"Himalaya Purifying Neem Face Wash, 400 Ml",,,https://m.media-amazon.com/images/I/51qpGr-1qzL._AC_UL320_.jpg,,"88,101",,268,https://amazon.in/Himalaya-Purifying-Neem-Face-Wash/dp/B07XS46Q73/ref=sr_1_7?qid=1695545594&s=beauty&sr=1-7,,,,,,,,,,,,,
,Minimalist Sunscreen SPF 50 Lightweight with Multi-Vitamins | No White Cast | Broad Spectrum PA ++++ | For Women & Men | 50g,,,https://m.media-amazon.com/images/I/51tXjE2WQQL._AC_UL320_.jpg,,"14,221",,399,https://amazon.in/Minimalist-Sunscreen-Multi-Vitamins-Cream/dp/B09FPS9D5T/ref=sr_1_8?qid=1695545594&s=beauty&sr=1-8,,,,,,,,,,,,,
,Park Avenue Good Morning Soap Pack of 4 500gm,,,https://m.media-amazon.com/images/I/611+X0ZGdWL._AC_UL320_.jpg,,"27,656",,195,https://amazon.in/Park-Avenue-Good-Morning-500gm/dp/B0B6ZZB6Q6/ref=sr_1_9?qid=1695545594&s=beauty&sr=1-9,,,,,,,,,,,,,
,"The Derma Co 1% Hyaluronic Sunscreen Aqua Ultra Light Gel with SPF 50 PA++++ For Broad Spectrum, UV A, UV B & Blue Light Protection - 50g(dermaco)",,,https://m.media-amazon.com/images/I/81TIzxoGl4L._AC_UL320_.jpg,,"10,551",,438,https://amazon.in/Derma-Co-Hyaluronic-Sunscreen-Protection/dp/B095CRM8NF/ref=sr_1_10?qid=1695545594&s=beauty&sr=1-10,,,,,,,,,,,,,
,"Pears Pure and Gentle Body Wash 750 ml, 98% Pure Glycerin, Liquid Shower Gel crafted with Natural Oils for Glowing Skin, Paraben Free & 100% Soap Free, For Soft, Smooth & Moisturised Skin",,,https://m.media-amazon.com/images/I/51x3cj+-iUL._AC_UL320_.jpg,,"2,261",,212,https://amazon.in/Glycerin-crafted-Natural-Glowing-Moisturised/dp/B09KHJ38HJ/ref=sr_1_11?qid=1695545594&s=beauty&sr=1-11,,,,,,,,,,,,,
,"Aqualogica Glow Sunscreen SPF 50 PA+++ 50g | UVA/B & Blue Light Protection for Men & Women | Oily, Dry, Sensitive & Combination Skin | Fragrance-Free",,,https://m.media-amazon.com/images/I/51gM8cCwWKL._AC_UL320_.jpg,,"8,079",,342,https://amazon.in/Aqualogica-Sunscreen-Protection-Glowing-Protected/dp/B09TPFTJNN/ref=sr_1_12?qid=1695545594&s=beauty&sr=1-12,,,,,,,,,,,,,
